Time;Time in ms;gx;gy;gz;ax;ay;az;magx;magy;magz;baro;head;angx;angy;debug1;debug2;debug3;debug4;GPS_distanceToHome;GPS_directionToHome;GPS_altitude;GPS_fix;GPS_numSat;GPS_speed;GPS_update;GPS_latitude;GPS_longitude;cycleTime;i2cError;rcThrottle;rcYaw;rcRoll;rcPitch;rcAUX1;rcAUX2;rcAUX3;rcAUX4;Motor1;Motor2;Motor3;Motor4;Motor5;Motor6;Motor7;Motor8;
2014_02_23_09_38_19;1393144699348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699378;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699381;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699423;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699436;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699466;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699572;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699592;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699610;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699634;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699640;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699707;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_23_09_38_19;1393144699752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1000.0;1500.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
